d,cr
2017-06-16,"	0.01410865"
2017-06-17,"	0.011304185"
2017-06-18,"	0.014236374"
2017-06-19,"	0.017041938"
2017-06-20,"	0.016201292"
2017-06-21,"	0.016072379"
2017-06-22,"	0.014612685"
2017-06-23,"	0.015596942"
2017-06-24,"	0.011765677"
2017-06-25,"	0.013976218"
2017-06-26,"	0.019365008"
2017-06-27,"	0.015093098"
2017-06-28,"	0.011459816"
2017-06-29,"	0.012951833"
2017-06-30,"	0.014526625"
2017-07-01,"	0.012100259"
2017-07-02,"	0.013833584"
2017-07-03,"	0.016922823"
2017-07-04,"	0.019152107"
2017-07-05,"	0.021149425"
2017-07-06,"	0.015569133"
2017-07-07,"	0.015625"
2017-07-08,"	0.013029617"
2017-07-09,"	0.016046567"
2017-07-10,"	0.019000887"
2017-07-11,"	0.019389081"
2017-07-12,"	0.016682669"
2017-07-13,"	0.015319897"
2017-07-14,"	0.013481981"
2017-07-15,"	0.012032581"
2017-07-16,"	0.016009692"
2017-07-17,"	0.018409714"
2017-07-18,"	0.016307284"
2017-07-19,"	0.01568888"
2017-07-20,"	0.015608867"
2017-07-21,"	0.015483797"
2017-07-22,"	0.012529333"
2017-07-23,"	0.013556338"
2017-07-24,"	0.017546614"
2017-07-25,"	0.014521968"
2017-07-26,"	0.012867905"
2017-07-27,"	0.014338666"
2017-07-28,"	0.011916892"
2017-07-29,"	0.010745736"
2017-07-30,"	0.010877468"
2017-07-31,"	0.014874297"
2017-08-01,"	0.014691558"
2017-08-02,"	0.013510661"
2017-08-03,"	0.013285751"
2017-08-04,"	0.011304816"
2017-08-05,"	0.009564644"
2017-08-06,"	0.011533002"
